"patente","marca","modelo","tipo","a_o_origen"
"C0635607","A.F.F.","BUGGY",NA,NA
"C0635474","BUICK","1936",NA,NA
"C0635668","BUICK","ROADMASTER",NA,NA
"C0635541","CHEVROLET","1951",NA,NA
"C0635567","CHEVROLET","400 S",NA,"1974 / NACIONAL"
"C0635590","CHEVROLET","CHEVROLET /10",NA,"1974 / NACIONAL"
"C0635620","CHEVROLET","C1403/60",NA,NA
"C0635661","CHEVROLET","1936",NA,"1974 / IMPORTADO"
"C0635431","CITROEN","CITROEN AZAM-M28",NA,NA
"C0635587","CITROEN","AZAM-M28 SPORT","DESCAPOTABLE O CONVE","1974 / NACIONAL"
"C0635660","CITROEN","1962",NA,NA
"C0635451","COMMER","1957",NA,NA
"C0635473","DE SOTO","1974",NA,NA
"C0635645","DE SOTO","1930",NA,NA
"C0635647","DE SOTO","36",NA,"1936 / IMPORTADO"
"C0635674","DE SOTO","TRANS DE CARGA",NA,NA
"C0635637","DI TELLA","1961","SEDAN 4 PUERTAS","1961 / NACIONAL"
"C0635676","DI TELLA","61",NA,"1961 / IMPORTADO"
"C0635421","DODGE","1500",NA,NA
"C0635433","DODGE","1500",NA,NA
"C0635492","DODGE","AÑO 1946",NA,NA
"C0635508","FARGO","AÑO 65",NA,NA
"C0635424","FIAT","600 R",NA,"1974 / NACIONAL"
"C0635425","FIAT","128",NA,NA
"C0635432","FIAT","600 R",NA,"1974 / NACIONAL"
"C0635441","FIAT","128 BERLINA",NA,"1974 / NACIONAL"
"C0635456","FIAT","600 R",NA,"2000 / NACIONAL"
"C0635478","FIAT","FIAT 128 FAMILIAR",NA,NA
"C0635556","FIAT","125 BERLINA/1974",NA,"1974 / NACIONAL"
"C0635561","FIAT","125 FAMILIAR","RURAL 4/5 PTAS","1974 / NACIONAL"
"C0635613","FIAT","AÑO 57",NA,NA
"C0635633","FIAT","125 POTENCIADO","SEDAN 4 PTAS","1974 / NACIONAL"
"C0635639","FIAT","600 R","SEDAN 2 PTAS","0 / NACIONAL"
"C0635475","FORD","F-100","CHASIS C/CABINA","1974 / NACIONAL"
"C0635574","FORD","1974",NA,"1974 / IMPORTADO"
"C0635644","FORD","TAUNUS VERSION GXL",NA,"1974 / NACIONAL"
"C0635449","FORD TAUNUS","COMBICAR",NA,"1974 / IMPORTADO"
"C0635563","FORD TAUNUS","1959-17M",NA,NA
"C0635612","FORD TAUNUS","17M P2F FORDOR",NA,NA
"C0635678","GLADIADOR","PICK UP 1965",NA,NA
"C0635679","IKA","UA-1FB",NA,NA
"C0635636","INTERNATIONAL","1940",NA,NA
"C0635672","KAISER","SPECIAL",NA,"1974 / IMPORTADO"
"C0635696","M.BENZ","1953",NA,NA
"C0635659","MERCURY","58",NA,"1974 / IMPORTADO"
"C0635436","NASH","1934",NA,NA
"C0635598","OPEL","59",NA,NA
"C0635527","PEUGEOT","404",NA,"2000 / NACIONAL"
"C0635534","PEUGEOT","504 SERIE 1974",NA,"1974 / NACIONAL"
"C0635585","PEUGEOT","403",NA,NA
"C0635626","PEUGEOT","PICK-UP 404 /1974",NA,"1974 / NACIONAL"
"C0635687","PEUGEOT","404",NA,NA
"C0635540","PLIMOUTH","1937",NA,NA
"C0635420","PLYMOUTH","46",NA,"1974 / IMPORTADO"
"C0635665","PONTIAS","AUTOMOVIL",NA,NA
"C0635411","RENAULT","12",NA,NA
"C0635412","RENAULT","12","SEDAN 4 PTAS","0 / NACIONAL"
"C0635453","RENAULT","RENAULT 4F/1974",NA,"2000 / NACIONAL"
"C0635526","RENAULT","12",NA,"1974 / NACIONAL"
"C0635564","RENAULT","6",NA,"1974 / NACIONAL"
"C0635615","RENAULT","RENAULT 6 * 1974",NA,NA
"C0635694","RENAULT","RENAULT 6","SEDAN 4 PUERTAS","1974 / NACIONAL"
"C0635695","RENAULT","RENAULT 6",NA,"1974 / NACIONAL"
"C0635621","VALIANT","1965","SEDAN 4 PTAS","0 / IMPORTADO"
"C0635683","VALIANT","V200 1962",NA,"1974 / IMPORTADO"
"C0635495","VAUXHALL","1950",NA,NA
"C0635697","VOLKSWAGEN","DE LUXE",NA,"1974 / IMPORTADO"
"C0635595","VOLSKWAGEN","1961",NA,"1961 / NACIONAL"
"C0635408","WOLSELEY","1948",NA,"1948 / IMPORTADO"
